id,livro,capitulo,lido
1,Génesis,1,FALSE
2,Génesis,2,FALSE
3,Génesis,3,FALSE
4,Génesis,4,FALSE
5,Génesis,5,FALSE
6,Génesis,6,FALSE
7,Génesis,7,FALSE
8,Génesis,8,FALSE
9,Génesis,9,FALSE
10,Génesis,10,FALSE
11,Génesis,11,FALSE
12,Génesis,12,FALSE
13,Génesis,13,FALSE
14,Génesis,14,FALSE
15,Génesis,15,FALSE
16,Génesis,16,FALSE
17,Génesis,17,FALSE
18,Génesis,18,FALSE
19,Génesis,19,FALSE
20,Génesis,20,FALSE
21,Génesis,21,FALSE
22,Génesis,22,FALSE
23,Génesis,23,FALSE
24,Génesis,24,FALSE
25,Génesis,25,FALSE
26,Génesis,26,FALSE
27,Génesis,27,FALSE
28,Génesis,28,FALSE
29,Génesis,29,FALSE
30,Génesis,30,FALSE
31,Génesis,31,FALSE
32,Génesis,32,FALSE
33,Génesis,33,FALSE
34,Génesis,34,FALSE
35,Génesis,35,FALSE
36,Génesis,36,FALSE
37,Génesis,37,FALSE
38,Génesis,38,FALSE
39,Génesis,39,FALSE
40,Génesis,40,FALSE
41,Génesis,41,FALSE
42,Génesis,42,FALSE
43,Génesis,43,FALSE
44,Génesis,44,FALSE
45,Génesis,45,FALSE
46,Génesis,46,FALSE
47,Génesis,47,FALSE
48,Génesis,48,FALSE
49,Génesis,49,FALSE
50,Génesis,50,FALSE
51,Êxodo,1,FALSE
52,Êxodo,2,FALSE
53,Êxodo,3,FALSE
54,Êxodo,4,FALSE
55,Êxodo,5,FALSE
56,Êxodo,6,FALSE
57,Êxodo,7,FALSE
58,Êxodo,8,FALSE
59,Êxodo,9,FALSE
60,Êxodo,10,FALSE
61,Êxodo,11,FALSE
62,Êxodo,12,FALSE
63,Êxodo,13,FALSE
64,Êxodo,14,FALSE
65,Êxodo,15,FALSE
66,Êxodo,16,FALSE
67,Êxodo,17,FALSE
68,Êxodo,18,FALSE
69,Êxodo,19,FALSE
70,Êxodo,20,FALSE
71,Êxodo,21,FALSE
72,Êxodo,22,FALSE
73,Êxodo,23,FALSE
74,Êxodo,24,FALSE
75,Êxodo,25,FALSE
76,Êxodo,26,FALSE
77,Êxodo,27,FALSE
78,Êxodo,28,FALSE
79,Êxodo,29,FALSE
80,Êxodo,30,FALSE
81,Êxodo,31,FALSE
82,Êxodo,32,FALSE
83,Êxodo,33,FALSE
84,Êxodo,34,FALSE
85,Êxodo,35,FALSE
86,Êxodo,36,FALSE
87,Êxodo,37,FALSE
88,Êxodo,38,FALSE
89,Êxodo,39,FALSE
90,Êxodo,40,FALSE
91,Levítico,1,FALSE
92,Levítico,2,FALSE
93,Levítico,3,FALSE
94,Levítico,4,FALSE
95,Levítico,5,FALSE
96,Levítico,6,FALSE
97,Levítico,7,FALSE
98,Levítico,8,FALSE
99,Levítico,9,FALSE
100,Levítico,10,FALSE
101,Levítico,11,FALSE
102,Levítico,12,FALSE
